Unnamed: 0,artist,album,track,track_id,lyrics,duration,genre,emotion,intensity
8837,CoCoMelon,"CoComelon Kids Hits, Vol. 7",Ring Around the Rosy,3hN8QrmVJwzhCvKs3lRxYH,"Ring-a-ring-a-rosies
A pocket full of posies
Ashes, ashes
We all fall down
Ring-a-ring-a-rosies
A pocket full of posies
Ashes, ashes
We all fall down
Fishies in the water
Fishies in the sea
We all jump up with a one-two-three
Bunnies in the backyard
Eating all the carrots
Thunder, lightning, hop-hop-hop
Elephants in the tall grass
Swinging their long trunks
Trumpet, trumpet
Stomp-stomp-stomp
Monkeys in the jungle
Playing in the branches
Swinging, swinging
Tree to tree
Ring-a-ring-a-rosies
A pocket full of posies
Ashes, ashes
We all fall down
Fishies in the water
Fishies in the sea
We all jump up with a one-two-three
Bunnies in the backyard
Eating all the carrots
Thunder, lightning, hop-hop-hop
Elephants in the tall grass
Swinging their long trunks
Trumpet, trumpet
Stomp-stomp-stomp
Monkeys in the jungle
Playing in the branches
Swinging, swinging
Tree to tree
Ring-a-ring-a-rosies
A pocket full of posies
Ashes, ashes
We all fall down",2 minutes 8 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
22511,CoCoMelon,Nursery Rhymes by CoComelon,Hot Cross Buns,78RBF5yhod2Oc20aaeMOuU,"Hot cross buns
Hot cross buns
One a penny, two a penny
Hot cross buns
Give them to your daughters
Give them to your sons
One a penny, two a penny
Hot cross buns
♪
Hot cross buns
Hot cross buns
One a penny, two a penny
Hot cross buns
Give them to your daughters
Give them to your sons
One a penny, two a penny
Hot cross buns
♪
Hot cross buns
Hot cross buns
One a penny, two a penny
Hot cross buns
Give them to your daughters
Give them to your sons
One a penny, two a penny
Hot cross buns
♪
Hot cross buns
Hot cross buns
♪
One a penny, two a penny
Hot cross buns
Give them to your daughters
Give them to your sons
One a penny, two a penny
Hot cross buns
♪
Hot cross buns
Hot cross buns
One a penny, two a penny
Hot cross buns
Give them to your daughters
Give them to your sons
One a penny, two a penny
Hot cross buns
♪
Hot cross buns
Hot cross buns
One a penny, two a penny
Hot cross buns
Give them to your daughters
Give them to your sons
One a penny, two a penny
Hot cross buns
",2 minutes 31 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
8789,CoCoMelon,Nursery Rhymes by CoComelon Vol.2,Teddy Bears Picnic,5KrG44CYOdMacbeEnmj5Kb,"If you go down to the woods today, you're sure of a big surprise
If you go down to the woods today, you'd better go in disguise
For every bear that ever there was
Will gather there for certain because
Today's the day the teddy bears have their picnic
Every teddy bear who's been good is sure of a treat today
There's lots of marvelous things to eat and wonderful games to play
Beneath the trees where nobody sees
They'll hide and seek as long as they please
'Cause that's the way the teddy bears have their picnic
Picnic time for teddy bears
The little teddy bears are having a lovely time today
Watch them, catch them unaware
And see them frolic on their holiday
See them gaily gad about
They love to play and shout
They never have any care
At six o'clock, their mommies and daddies
Will take them home to bed
Because they're tired little teddy bears
If you go down to the woods today, you'd better not go alone
It's lovely down in the woods today, but safer to stay at home
For every bear that ever there was
Will gather there for certain because
Today's the day the teddy bears have their picnic
Picnic time for teddy bears
The little teddy bears are having a lovely time today
Watch them, catch them unaware
And see them frolic on their holiday
See them gaily gad about
They love to play and shout
They never have any care
At six o'clock, their mommies and daddies
Will take them home to bed
Because they're tired little teddy bears
",2 minutes 27 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
22490,CoCoMelon,"CoComelon Kids Hits, Vol. 10",Train Song,7syG2CyMtm8zEk9VEPXAw2,"I'm on a train
I'm listening
To all the sounds
The engine makes
And 'neath the train
There are some tracks
The train goes click-a clack-a!
I'm on a train
I'm on a train
I'm listening
To all the sounds
The engine makes
And on this train
There are some wheels
The train goes click-a clack-a, chugga chugga!
I'm on a train
I'm on a train
I'm listening
To all the sounds
The engine makes
And on this train
There is a whistle
The train goes click-a clack-a, chugga chugga, choo choo!
I'm on a train
I'm on a train
I'm listening
To all the sounds
The engine makes
And on this train
There's a conductor
The train goes click-a clack-a, chugga chugga, choo choo!
""All aboard!""
I'm on a train
I'm on a train
I'm listening
To all the sounds
The engine makes
And on this train
We say goodbye!
The train goes click-a clack-a, chugga chugga, choo choo!
The train goes click-a clack-a, chugga chugga, choo choo!
""All aboard!""
""Bye-bye!""
I'm on a train
",2 minutes 41 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
8773,CoCoMelon,Let's Play!,Catch Song,0QZPciza5HuJifhvRfROXx,"There are many things we can do
When we play with the ball
Your friend can throw it far as they can
So you can run and then catch it again
Now we jump, jump, jump, and we stretch our arms
Keep your eyes on the ball
Throw it one, two, three times
Until you can catch the ball
♪
There are many things we can do
When we play with the ball
Pass it along to the others, and
Watch it as it comes around again
And we pass, pass, pass it to all our friends
So everyone gets to play
Try it one, two, three times
Until you can pass the ball
♪
There are many things we can do
When we play with the ball
Go ahead, throw it against the floor
Watch it as it bounces back up once more
So we bounce, bounce, bounce it around the court
Let's see how high it can go
Throw it one, two, three times
Until you can pass the ball
♪
There are many things we can do
When we play with the ball
Carefully kick it towards your friend
Forward and backward, and forward again
And we kick, kick, kick it around the field
Let's see how far it can go
Try it one, two, three times
Until you can kick the ball
There are one, two, so many ways
You can play with the ball
",2 minutes 21 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
22335,CoCoMelon,CoComelon Lane (Songs From the Netflix Series),JJ's Animal Dance - Songs From the Netflix Series,1qelidddRllijPzk8pUYAt,"It's the animal dance (the animal dance)
Let's all stand up (but the bears)
And move around (I don't wanna miss them)
And clap our hands (we'll come back?)
Look over there
Our friend, the elephant
They go toot, toot, toot, toot
Doing the animal dance
Are there bears yet?
Not yet
Thrill, thrill, let's go see the penguins!
Okay, I guess I like penguins
It's the animal dance (it's the animal dance)
Let's all stand up (let's all stand up)
And move around (and move around)
And clap our hands (and clap our hands)
Look over there
Our friend, the penguin
They go squawk, squawk, squawk, squawk
Doing the animal dance
Are there bears yet?
Not yet
Hey, everyone, let's go see the flamingos
Oh, flamingos!
It's the animal dance (it's the animal dance)
Let's all stand up (let's all stand up)
And move around (and move around)
And clap our hands (and clap our hands)
Look over there
Our friend, the flamingo
They go-, wait, what sound does a flamingo make?
(Uh, don't know, maybe, pink sounds?)
Doing the animal dance
Are there bears yet?
Not yet
Let's go see the sloths
Okay, let's go!
It's the animal dance (it's the animal dance)
Wait, sloths don't dance (sloths don't dance?)
Let's all lie down (let's all lie down)
And take a nap (and take a nap)
Hey, look, the bears!
They're really here
Come on, let's go
The bears are great!
Let's all stand up
And move around
They go dance, dance, dance, dance
Doing the animal dance
The bears go dance, dance, dance, dance
Doing the animal dance
",2 minutes 28 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
22410,CoCoMelon,Halloween Party,This is the Way We Trick or Treat,1mSHbyBkWZi9X6TSEdZr8U,"Ooh, ah
So tricky
Let's trick or treat
This is the way we trick or treat
Trick or treat, trick or treat
This is the way we trick or treat
On Halloween together
This is the way we get ready
I am a ghost, I am a witch
This is the way we get ready
On Halloween together
This is the way we knock on doors
Knock on doors, thrice or more
This is the way we knock on doors
On Halloween together
This is the way we say thank you
Say thank you (thank you, Jill)
This is the way we say thank you
On Halloween together
This is the way we share our treats
Share our treats (have one each)
This is the way we share treats
On Halloween together
This is the way we all walk home
All walk home (time to go)
This is the way we all walk home
On Halloween together
Trick or treat was great
And it's nice to be back home
",2 minutes 2 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
22420,CoCoMelon,Vehicle Fun with CoComelon,Farm Song,7tSPXIfI462pjBYid4gBXN,"We're on the farm today
So many things to see
Vehicles are everywhere
So sing along with me
Every thing out on the farm has a job to do
All the things that we can see
Have a job to do
Working over here, working over there
Over here, over there, things are working everywhere
Every thing out on the farm has a job to do
♪
There's a tractor on the farm with a job to do
Pulling heavy things around, that's the job to do
With a pull-pull here, and a pull-pull there
Here a pull, there a pull, everywhere a pull-pull
There's a tractor on the farm with a job to do
♪
There's a digger on the farm with a job to do
Digging holes up in the ground, that's the job to do
With a dig-dig here, and a dig-dig there
Here a dig, there a dig, everywhere a dig-dig
There's a digger on the farm with a job to do
♪
There's a seeder on the farm with a job to do
Planting seeds into the ground, that's the job to do
With a plant-plant here and a plant-plant there
Here a plant, there a plant, everywhere a plant-plant
There's a seeder on the farm with a job to do
There's a mower on the farm with a job to do
Mowing grass out on the lawn, that's the job to do
With a mow-mow here and a mow-mow there
Here a mow, there a mow, everywhere a mow-mow
There's a mower on the farm with a job to do
Every thing out on the farm has a job to do
All the things that we can see
Have a job to do
Working over here, working over there
Over here, over there, things are working everywhere
Every thing out on the farm has a job to do
",2 minutes 42 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
8827,CoCoMelon,Nursery Rhymes by CoComelon,The Muffin Man,6fEBcYJBFiPvREHQiQr9Db,"Do you know the Muffin Man
The Muffin Man, the Muffin Man?
Do you know the Muffin Man
Who lives on Drury Lane?
♪
Do you know the Muffin Man
The Muffin Man, the Muffin Man?
Do you know the Muffin Man
Who lives on Drury Lane?
♪
Do you know the Muffin Man
The Muffin Man, the Muffin Man?
Do you know the Muffin Man
Who lives on Drury Lane?
♪
Do you know the Muffin Man
The Muffin Man, the Muffin Man?
Do you know the Muffin Man
Who lives on Drury Lane?
♪
Do you know the Muffin Man
The Muffin Man, the Muffin Man?
Do you know the Muffin Man
Who lives on Drury Lane?
♪
Yes, we know the Muffin Man
The Muffin Man, the Muffin Man
Yes, we know the Muffin Man
Who lives on Drury Lane
",2 minutes 21 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
22350,CoCoMelon,Let's Play!,JJ's Scavenger Hunt,4QTrkpBDKe7M8M5tFQgap3,"Let's go on a scavenger hunt
Are you ready?
Mommy says, ""Here we go, find a sock today""
Mommy says, ""Here we go, around the house, hooray!""
Where could it be?
Oh, I know, the bedroom
I found the sock, yeepee, hooray!
Looked high and low, 'cause that's the way
I love to play Scavenger Hunt with Mommy
♪
Daddy says, ""Here we go, find a teddy bear""
Daddy says, ""Hurry up, might be over there""
Where could it be?
Maybe in my playroom
I found the teddy bear, hooray!
Looked high and low, 'cause that's the way
I love to play Scavenger Hunt with Daddy
♪
Mommy says, ""Here we go, find a scarf today
Mommy says, ""Here we go, around the house, hooray!""
I know I've seen it somewhere
I know, by the front door
I found the scarf, yeepee, hooray!
Looked high and low, 'cause that's the way
I love to play Scavenger Hunt with Mommy
♪
Daddy says, ""Here we go, find a storybook""
Daddy says, ""Hurry up, let's all have a look""
I found it, it was on the couch
I found the storybook, hooray!
Looked high and low, 'cause that's the way
I love to play Scavenger Hunt with Daddy
Did you have fun on our scavenger hunt, JJ?
",2 minutes 30 seconds,"[""children's music"", 'nursery', ""preschool children's music""]",joy,medium
