,artist,genre,track,duration,release_date,explicit,album,track_id,lyrics,emotion,intensity
0,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Earned It (Fifty Shades Of Grey),277,2024-02-09,True,The Highlights (Deluxe),5cTYNNvFtfVtRbGj6073U3,"I'ma care for you ♪ I'ma care for you, you, you, you ♪ You make it look like it's magic (oh, yeah) 'Cause I see nobody, nobody but you, you, you I'm never confused Hey, hey, and I'm so used to being used So I love when you call unexpected 'Cause I hate when the moment's expected So I'ma care for you, you, you I'ma care for you, you, you, you, yeah 'Cause girl, you're perfect You're always worth it And you deserve it The way you work it 'Cause girl, you earned it, yeah Girl, you earned it, yeah You know our love would be tragic (oh, yeah) So you don't pay it, don't pay it no mind, mind, mind We live with no lies Hey, hey, and you're my favorite kind of night So I love when you call unexpected 'Cause I hate when the moment's expected So I'ma care for you, you, you I'ma care for you, you, you, you, yeah 'Cause girl, you're perfect (girl, you're perfect) You're always worth it (always worth it) And you deserve it (and you deserve it) The way you work it (the way you work it) 'Cause girl, you earned it, yeah (earned it) Girl, you earned it, yeah On that lonely night (lonely night) Said it wouldn't be love But we felt the rush (fell in love) It made us believe it was only us (was only us) Convinced we were broken inside, yeah Inside, yeah 'Cause girl, you're perfect (girl, you're perfect) You're always worth it (you're always worth it) And you deserve it (and you deserve it) The way you work it (the way you work it) 'Cause girl, you earned it, yeah (girl, you earned it) Girl, you earned it, yeah (girl, you earned it) ♪ Na-na-na-na Oh, yeah, yeah  'Cause girl, you're perfect The way you work it You deserve it Girl, you deserve it Girl, you earned it, yeah ",admiration,3
1,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Wasted Times,220,2024-02-09,True,The Highlights (Deluxe),7tDLiXn8gSZ0KuQubcNVPX,"Wasted times I spent with someone else She wasn't even half of you Reminiscin' how you felt (Reminiscin' how you felt) And even though you put my life through hell I can't seem to forget 'bout you, 'bout you I want you to myself And now I'm askin', who do you belong to now? Who you give that love to now? Who you pullin' up on? Who you gettin' sprung for now? And what they got that I ain't got? 'Cause I got a lot Don't make me run up on 'em, got me blowin' up their spot 'Cause I ain't got no business catchin' feelings anyway I ain't got no business catchin' feelings, catchin' feelings These girls only want you when you're winnin' (Winnin') But you've been with me from the beginnin' (Ooh, yeah-eah) And I know right now that we're not talkin' (Not talkin') I hope you know this dick is still an option 'Cause I'll beat it up (I'll beat it up, yeah) I'll take my time to learn the way your body functions You were equestrian, so ride it like a champion (I'll beat it) This sex will get you high without no other substance So who do you belong to now? (Who do you belong to now?) Who you give that love to now? (Who you give that love to now?) Who you pullin' up on? Who you gettin' sprung for now? (Who you gettin' sprung for now?) And what they got that I ain't got? 'Cause I got a lot (I got a lot) Don't make me run up on 'em, got me blowin' up their spot 'Cause I ain't got no business catchin' feelings anyway I ain't got no business catchin' feelings (Feelings) (Catchin' feelings) (I ain't got no business catchin' feelings) (I ain't got no business catchin' feelings) (Catchin' fee-fee-fee-fee) (Feelings) (I ain't got no business catchin' feelings) (I ain't got no business catchin' feelings) (Catchin' fee-fee-fee-fee) Wake up I don't wanna wake up I don't wanna wake up If you ain't layin' next to me I don't wanna wake up I don't wanna wake up I don't wanna wake up If you ain't layin' next to me-e-e (On me, me) (On me, oh, I–) (On me, on me, on me) ",annoyance,1
2,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Ordinary Life,221,2023-03-14,False,Starboy (Deluxe),09mBPwUMt1TXNtneqvmZZ5,"Heaven in her mouth, got a hell of a tongue I can feel her teeth when I drive on a bump Fingers letting go of the wheel when I cum Wheel when I cum, wheel when I cum David Carradine, I'ma die when I cum She just givin' head, she don't know what I've done Like I'm James Dean, I'ma die when I'm young Die when I'm young, die when I'm young Heaven knows that I've been told Paid for the life that I chose If I could, I'd trade it all Trade it for a halo And she said that she'll pray for me I said, ""It's too late for me"" 'Cause I think it's safe to say This ain't ordinary life This ain't ordinary life This ain't ordinary life This ain't ordinary life No ordinary life This ain't ordinary life This ain't ordinary life This ain't ordinary life Valhalla is where all the righteous are led Mulholland's where all the damned will be kept Devil on my lap and a cross on my neck Cross on my neck, cross on my neck Over 45, I'ma drift on a bend Do a buck 20, I'ma fly off the edge Everybody said it would hurt in the end Hurt in the end, but I feel nothin' She said that she'll pray for me I said, ""It's too late for me"" 'Cause I think it's safe to say This ain't ordinary life This ain't ordinary life This ain't ordinary life This ain't ordinary life No ordinary life This ain't ordinary life This ain't ordinary life This ain't ordinary life ♪ Angels all singin' in monasteries, yeah My soul is burning in LaFerraris Father, sorry, father, sorry Halos are given to ordinary lives No, but this ain't ordinary life This ain't ordinary life This ain't ordinary life This ain't ordinary life No ordinary life This ain't ordinary life This ain't ordinary life This ain't ordinary life No ordinary life Woah-oh-oh Woah-oh-oh ",optimism,2
3,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Take My Breath - Live,235,2023-03-03,False,Live At SoFi Stadium,02YlAvsmptN8LisZqrWBIb,"Oh, take my breath Ooh, yeah Oh, I see you One, two, three Take my breath ♪ Oh, one, two, three Take my breath ♪ Oh, take my breath Ooh, ooh, ooh, ooh Said I saw the fire in your eyes I saw the fire when I look into your eyes You tell me things you wanna try I know temptation is the devil in disguise You risk it all to feel alive, ooh, yeah (You're offering yourself to me like sacrifice) You said you do this all the time Tell me you love me when I bring you to the light So, I say It's like a dream what she feels with me She likes to be on the edge Her fantasy is okay with me Then suddenly, baby says Said Take my breath away And make it last forever, babe Do it now or never, baby Take my breath away Nobody does it better, babe Bring me close to heaven, baby Take my breath ♪ Come on ♪ Oh, oh-oh Oh, oh Take my, take my breath away Nobody does it better, babe Do it now or never, baby, say Take my breath away Nobody does it better, babe Bring me close to heaven, baby Take my breath away, na-na-ooh-ooh Take my breath, yeah Nobody does it better, babe Bring me close to heaven, baby (Take my breath) ",ecstasy,3
4,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Party Monster - Live,189,2023-03-03,True,Live At SoFi Stadium,6knNhL3mIaackJvtjmUrfN,"Los Angeles are you tryna go hard tonight? Let's go ♪ I see, I see, I see I'm good, I'm good, I'm great Know it's been a while, now I'm mixin' up the drink I just need a girl who gon' really understand I just need a girl who gon' really understand I'm good, I'm good, I'm great Know it's been a while, now I'm mixin' up the drank I just need a girl who gon' really understand I just need a girl who gon' really understand And I seen her get rich hittin' the pole I've seen her, I knew she had to know I've seen her take down that tequila Down by the liter, I knew I had to meet her Ooh, she mine, ooh, girl, bump and grind Ooh, she mine, ooh, girl, bump a line Angelina, lips like Angelina Like Angelina (ass shaped like, let's go) Got up, thank the Lord for the day Woke up by a girl, I don't even know her name Woke up by a girl, I don't even know her name I say Got up, thank the Lord for the day Woke up by a girl, I don't even know her name Woke up by a girl, I don't even know her name Paranoid Paranoid Paranoid But I see something in you Paranoid Paranoid Paranoid But I see something in you Paranoid, baby Paranoid, darling Paranoid, baby But I see something in you, girl Paranoid Paranoid I said paranoid, baby But I see something in you Los Angeles! ♪ Oh, oh, oh, oh! Woke up by a girl, I don't even know her name ",grief,3
5,The Weeknd,"canadian contemporary r&b, canadian pop, pop",After Hours - Live,267,2023-03-03,False,Live At SoFi Stadium,7HK0ZDEsW0lGKKIVYvni2z,"Ooh, baby I'm fallin' in too deep, oh, no I'm fallin' in too deep, oh, baby I'm fallin' in too deep, oh, so ♪ My darkest hours Girl, I felt so alone inside of this crowded room Different girls on the floor, distractin' my thoughts of you I turned into the man I used to be, to be Put myself to sleep Just so I can get closer to you inside my dreams Didn't wanna wake up 'less you were beside me I just wanted to call you and say, and say Oh, baby Where are you now when I need you most? I'd give it all just to hold you close Sorry that I broke your heart, your heart Never comin' down I was running away from facin' reality Wastin' all of my time out living my fantasies Spendin' money to compensate, compensate 'Cause I want you, baby I be livin' in heaven when I'm inside of you It was simply a blessing wakin' beside you I'll never let you down again, again Oh, baby Where are you now when I need you most? I'd give it all just to hold you close Sorry that I broke your heart, your heart I said, baby I'll treat you better than I did before I'll hold you down and not let you go This time, I won't break your heart, your heart, yeah ♪ I know it's all my fault Made you put down your guard And I know I made you fall Then said you were wrong for me But I lied to you, I lied to you, I lied to you Can't hide the truth, I'd stay with her in spite of you You did some things that you regret, still ride for you 'Cause this house is not a home Without my (baby) (Where are you now when I need you most?) (I gave it all just to hold you close) (Sorry that I broke your heart, your heart) (I said, baby) (I'll treat you better than I did before) (I'll hold you down and not let you go) (This time, I won't break your heart, your heart) No ",grief,3
6,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Out of Time - Live,200,2023-03-03,False,Live At SoFi Stadium,6XZ8C5etRn0kiS1wwuW0SO,"Los Angeles, how the fuck y'all feelin' tonight Look how beautiful you look Look how gorgeous you look tonight And you sound beautiful too, 'cause I just heard you a few seconds ago So, I need you to help me out on this next song, you hear me? Let's go The last few months, I've been workin' on me, baby There's so much trauma in my life I've been so cold to the ones who loved me, baby I look back now and I realize And I remember when I held you You begged me with your drowning eyes to stay And I regret I didn't tell you Now, I can't keep you from loving him You made up your mind Say I love you, girl, but I'm out of time Say I'm there for you, but I'm out of time Say that I'll care for you, but I'm out of time Said I'm too late to make you mine, out of time If he mess up just a little Baby, you know my line If you don't trust him a little Then come right back, girl, come right back Give me one chance, just a little Baby, I'll treat you right And I'll love you like I shoulda loved you all the time And I remember when I held you You begged me with your drowning eyes to stay And I regret I didn't tell you Now, I can't keep you from loving him You made up your mind Say I love you, girl, but I'm out of time Say I'm there for you, but I'm out of time Say that I'll care for you, but I'm out of time Said I'm too late to make you mine, out of time Oh, singin' (out of time) Oh, Los Angeles, oh you look so beautiful tonight, look at you (out of time) Oh, say baby, oh (out of time) Too late to make you mine, out of time (Out of time) (Out of time) Oh, baby, oh, no, no, no ",love,2
7,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Less Than Zero - Live,244,2023-03-03,True,Live At SoFi Stadium,0ijIG2j6oRSMDk5Zp91xXt,"Are you there? Let's g— Remember I was your hero, yeah, yeah, yeah, yeah, yeah I'd wear your heart like a symbol I couldn't save you from my darkest truth of all Yeah, yeah, yeah, yeah, I know I'll always be less than zero Oh, yeah You tried your best with me, I know I couldn't face you with my darkest truth of all You know, you know, you know One, two, one, two, three, let's go (I can't get it) Out of my head No, I can't shake this feeling that crawls in my bed I try to hide it, but I know you know me I try to fight it, but I'd rather be free Oh-oh Oh, yeah Can we meet in the middle? (Oh, oh no) 'Cause you were just like me before Now you'd rather leave me than to watch me die in your arms, oh You ready, you ready, you ready One, two, one, two, three, let's go (I can't get it) Out of my head No, I can't shake this feeling that crawls in my bed I try to hide it, but I know you know me I try to fight it, but I'd rather be free LA make some motherfucking noise! ♪ I can't get it out of my head No, I can't shake this feeling that crawls in my bed I try to hide it, but I know you know me I try to fight it, but I'd rather be free Oh, oh, oh baby I said, one, two, three, sing I can't get it out of my (head) No, I can't shake this feeling that crawls in my bed I try to hide it, but I know you know me I try to fight it, but I'd rather be free Oh, yeah I'll always be less than zero Yeah You tried your best with me, I know ",apprehension,1
8,The Weeknd,"canadian contemporary r&b, canadian pop, pop",How Do I Make You Love Me? - Sebastian Ingrosso & Salvatore Ganacci Remix,217,2022-01-07,False,Dawn FM (Alternate World),2urqWNGpjl07PLAafoa5nT,"I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine And I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine Forget 'bout what your daddy said I'll teach you how to shine ♪ How do I make you love me? I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine How do I make you love me? I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine Forget 'bout what your daddy said I'll teach you how to shine And I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine And I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine And I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine And I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine And I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine And I can see the real you, girl You don't have to hide Forget 'bout what your daddy said I'll teach you how to shine ♪ How do I make you love me? I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And how do I make you love me? I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach you how to shine And I'll teach- How do I make you love me? ",joy,2
9,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Try Me,221,2018-03-30,False,"My Dear Melancholy,",4ppTAJUbNXELZcoUaL90wo,"Any time is the time Any time for you to get my call, baby (So, baby) Are you alone, baby? If he ain't around, pick up your phone, baby Whoa Can you try me? Try me? Once you put your pride aside You can notify me, -fy me You're the best I ever had Baby girl, remind me, -mind me Let me know if it's on And you know where to find me, find me Having thoughts you never had, yeah I didn't know you were down for him finding out I thought you had some kind of love for your man Well, I'm not tryna break up something You've been workin' out, you've been steady But I'm ready to go all the way if you let me, don't you tempt me You're lookin' good since the last time I looked at you It might have been, been about a couple months But I just got the picture that you texted to me You ain't steady, you look ready to go all the way If you let me take you down on me Can you try me? Try me? (Oh) Once you put your pride aside You can notify me, -fy me (Hey) You're the best I ever had Baby girl, remind me, -mind me Let me know if it's on And you know where to find me, find me (Hey) Having thoughts you never had, yeah Can you try me? Try me? (Hey) Once you put your pride aside You can notify me, -fy me You're the best I ever had Baby girl, remind me, -mind me (Hey) Let me know if it's on (Let me know) And you know where to find me find me (Hey) Having thoughts you never had, yeah ♪ Better try me Don't you mess with me Don't you mess with me The way I kissed your scars The way I fixed your heart, oh Don't you miss me, babe? Don't you miss me, babe? ",love,2
