artist,album,track,lyrics
Taylor Swift,1989 (Taylor's Version) [Deluxe],Welcome To New York (Taylor's Version),"[""Walkin' through a crowd, the village is aglow"", 'Kaleidoscope of loud heartbeats under coats', ""Everybody here wanted somethin' more"", ""Searchin' for a sound we hadn't heard before"", 'And it said', ""Welcome to New York, it's been waitin' for you"", 'Welcome to New York, welcome to New York', ""Welcome to New York, it's been waitin' for you"", 'Welcome to New York, welcome to New York', ""It's a new soundtrack, I could dance to this beat, beat forevermore"", 'The lights are so bright, but they never blind me, me', ""Welcome to New York, it's been waitin' for you"", 'Welcome to New York, welcome to New York', '', 'When we first dropped our bags on apartment floors', 'Took our broken hearts, put them in a drawer', 'Everybody here was someone else before', 'And you can want who you want', 'Boys and boys and girls and girls', ""Welcome to New York, it's been waitin' for you"", 'Welcome to New York, welcome to New York', ""Welcome to New York, it's been waitin' for you"", 'Welcome to New York, welcome to New York', ""It's a new soundtrack, I could dance to this beat, beat forevermore"", 'The lights are so bright, but they never blind me, me', ""Welcome to New York (New York), it's been waitin' for you"", 'Welcome to New York, welcome to New York', 'Like any great love, it keeps you guessing', ""Like any real love, it's ever-changing"", 'Like any true love, it drives you crazy', ""But you know you wouldn't change"", 'Anything, anything, anything', ""Welcome to New York, it's been waitin' for you"", 'Welcome to New York, welcome to New York', ""Welcome to New York, it's been waitin' for you"", 'Welcome to New York, welcome to New York', ""It's a new soundtrack, I could dance to this beat"", 'The lights are so bright, but they never blind me', ""Welcome to New York (new soundtrack), it's been waitin' for you"", 'Welcome to New York (the lights are so bright, but they never blind me)', 'Welcome to New York (so bright, they never blind me)', 'Welcome to New York', 'Welcome to New York', '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],Blank Space (Taylor's Version),"['Nice to meet you, where you been?', 'I could show you incredible things', 'Magic, madness, heaven, sin', 'Saw you there and I thought', '""Oh, my God, look at that face', 'You look like my next mistake', 'Love\'s a game, wanna play?"" Ayy', 'New money, suit and tie', 'I can read you like a magazine', ""Ain't it funny? Rumors fly"", 'And I know you heard about me', ""So, hey, let's be friends"", ""I'm dying to see how this one ends"", 'Grab your passport and my hand', 'I can make the bad guys good for a weekend', ""So, it's gonna be forever"", ""Or it's gonna go down in flames?"", ""You can tell me when it's over, mm"", 'If the high was worth the pain', 'Got a long list of ex-lovers', ""They'll tell you I'm insane"", ""'Cause you know I love the players"", 'And you love the game', ""'Cause we're young and we're reckless"", ""We'll take this way too far"", ""It'll leave you breathless, mm"", 'Or with a nasty scar', 'Got a long list of ex-lovers', ""They'll tell you I'm insane"", ""But I've got a blank space, baby"", ""And I'll write your name"", '♪', 'Cherry lips, crystal skies', 'I could show you incredible things', 'Stolen kisses, pretty lies', ""You're the king, baby, I'm your queen"", 'Find out what you want', 'Be that girl for a month', 'Wait, the worst is yet to come, oh, no', 'Screaming, crying, perfect storms', 'I can make all the tables turn', 'Rose garden filled with thorns', 'Keep you second guessing, like', '""Oh, my God, who is she?""', 'I get drunk on jealousy', ""But you'll come back each time you leave"", ""'Cause, darling, I'm a nightmare dressed like a daydream"", ""So, it's gonna be forever"", ""Or it's gonna go down in flames?"", ""You can tell me when it's over, mm"", 'If the high was worth the pain', 'Got a long list of ex-lovers', ""They'll tell you I'm insane"", ""'Cause you know I love the players"", 'And you love the game', ""'Cause we're young and we're reckless (oh)"", ""We'll take this way too far"", ""It'll leave you breathless, mm (oh-oh)"", 'Or with a nasty scar', 'Got a long list of ex-lovers', ""They'll tell you I'm insane (insane)"", ""But I've got a blank space, baby"", ""And I'll write your name"", ""Boys only want love if it's torture"", ""Don't say I didn't, say I didn't warn ya"", ""Boys only want love if it's torture"", ""Don't say I didn't, say I didn't warn ya"", ""So, it's gonna be forever"", ""Or it's gonna go down in flames?"", ""You can tell me when it's over, mm (over)"", 'If the high was worth the pain', 'Got a long list of ex-lovers', ""They'll tell you I'm insane (I'm insane)"", ""'Cause you know I love the players"", 'And you love the game (love the game)', ""'Cause we're young and we're reckless (yeah)"", ""We'll take this way too far (ooh)"", ""It'll leave you breathless, mm"", 'Or with a nasty scar (or leave a nasty scar)', 'Got a long list of ex-lovers', ""They'll tell you I'm insane"", ""But I've got a blank space, baby"", ""And I'll write your name"", '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],Style (Taylor's Version),"['Midnight', 'You come and pick me up, no headlights', '', 'Long drive', 'Could end in burning flames or paradise', 'Fade into view, oh', ""It's been a while since I have even heard from you"", '(Heard from you)', ""I should just tell you to leave, 'cause I"", 'Know exactly where it leads, but I', ""Watch us go 'round and 'round each time"", 'You got that James Dean daydream look in your eye', 'And I got that red lip classic thing that you like', 'And when we go crashing down, we come back every time', ""'Cause we never go out of style, we never go out of style"", 'You got that long hair, slicked back, white t-shirt', 'And I got that good girl faith and a tight little skirt', 'And when we go crashing down, we come back every time', ""'Cause we never go out of style, we never go out of style"", 'So it goes', ""He can't keep his wild eyes on the road, mmm"", 'Takes me home', ""The lights are off, he's taking off his coat, mmm, yeah"", 'I say, ""I heard, oh', 'That you\'ve been out and about with some other girl""', 'Some other girl', 'He says, ""What you heard is true, but I', 'Can\'t stop thinking \'bout you and I""', 'I said, ""I\'ve been there too, a few times""', ""'Cause you got that James Dean daydream look in your eye"", 'And I got that red lip classic thing that you like', 'And when we go crashing down, we come back every time', ""'Cause we never go out of style, we never go out of style"", 'You got that long hair, slicked back, white t-shirt', 'And I got that good girl faith and a tight little skirt (a tight little skirt)', 'And when we go crashing down, we come back every time', ""'Cause we never go out of style (we never go, we never go)"", 'We never go out of style', 'Take me home', 'Just take me home', 'Yeah, just take me home, oh-woah, oh-woah, ah', '(Out of style)', ""Oh, 'cause you got that James Dean daydream look in your eye"", 'And I got that red lip classic thing that you like', 'And when we go crashing down (and when we go), we come back every time', ""'Cause we never go out of style, we never go out of style"", '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],Out Of The Woods (Taylor's Version),"['Looking at it now', 'It all seems so simple', 'We were lying on your couch', 'I remember', 'You took a Polaroid of us', 'Then discovered (then discovered)', 'The rest of the world was black and white', 'But we were in screaming color', 'And I remember thinking', 'Are we out of the woods yet? Are we out of the woods yet?', 'Are we out of the woods yet? Are we out of the woods?', 'Are we in the clear yet? Are we in the clear yet?', 'Are we in the clear yet, in the clear yet? Good', 'Are we out of the woods yet? Are we out of the woods yet?', 'Are we out of the woods yet? Are we out of the woods?', 'Are we in the clear yet? Are we in the clear yet?', 'Are we in the clear yet, in the clear yet? Good', 'Are we out of the woods?', 'Looking at it now', 'Last December (last December)', 'We were built to fall apart', 'And fall back together (back together)', 'Ooh, your necklace hanging from my neck', ""The night we couldn't quite forget"", 'When we decided, we decided', 'To move the furniture so we could dance', 'Baby, like we stood a chance', 'Two paper airplanes flying, flying, flying', 'And I remember thinking', 'Are we out of the woods yet? Are we out of the woods yet?', 'Are we out of the woods yet? Are we out of the woods?', 'Are we in the clear yet? Are we in the clear yet?', 'Are we in the clear yet, in the clear yet? Good', 'Are we out of the woods yet? Are we out of the woods yet?', 'Are we out of the woods yet? Are we out of the woods? (Oh-oh, oh, oh)', 'Are we in the clear yet? Are we in the clear yet?', 'Are we in the clear yet, in the clear yet? Good', 'Are we out of the woods? (Yeah)', 'Remember when you hit the brakes too soon?', '20 stitches in a hospital room', 'When you started crying, baby, I did too', 'But when the sun came up, I was looking at you', ""Remember when we couldn't take the heat?"", 'I walked out, I said, ""I\'m setting you free""', 'But the monsters turned out to be just trees', 'When the sun came up, you were looking at me', 'You were looking at me, oh', 'You were looking at me', '(Are we out of the woods yet? Are we out of the woods yet?)', '(Are we out of the woods yet? Are we out of the woods?) I remember', '(Are we in the clear yet? Are we in the clear yet?)', '(Are we in the clear yet, in the clear yet? Good) oh, I remember', 'Are we out of the woods yet? Are we out of the woods yet? (Yeah)', 'Are we out of the woods yet? Are we out of the woods?', 'Are we in the clear yet? Are we in the clear yet? (So, are we?)', 'Are we in the clear yet, in the clear yet? Good', 'Are we out of the woods yet? Are we out of the woods yet?', 'Are we out of the woods yet? Are we out of the woods?', 'Are we in the clear yet? (Yeah) are we in the clear yet? (Yeah)', 'Are we in the clear yet, in the clear yet? Good', 'Are we out of the woods yet? Are we out of the woods yet?', 'Are we out of the woods yet? Are we out of the woods?', 'Are we in the clear yet? Are we in the clear yet?', 'Are we in the clear yet, in the clear yet? Good (do you remember?)', 'Are we out of the woods yet? Are we out of the woods yet?', 'Are we out of the woods yet? Are we out of the woods?', 'Are we in the clear yet? Are we in the clear yet?', 'Are we in the clear yet, in the clear yet? Good', '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],All You Had To Do Was Stay (Taylor's Version),"['(Hey, hey, hey)', '(Hey, hey, hey)', '(Hey, hey, hey)', '(Hey, hey, hey)', 'People like you always want back', 'The love they gave away', 'And people like me wanna believe you', ""When you say you've changed"", 'The more I think about it now', 'The less I know', 'All I know is that you drove us', 'Off the road', '(Stay) hey, all you had to do was stay', 'Had me in the palm of your hand, then', ""Why'd you have to go and lock me out when I let you in?"", '(Stay) hey, now you say you want it back', ""Now that it's just too late, well, could've been easy"", 'All you had to do was (stay)', 'All you had to do was (stay)', 'All you had to do was (stay)', 'All you had to do was (stay)', 'All you had to do was (stay)', 'Here you are now, calling me up', ""But I don't know what to say"", ""I've been pickin' up the pieces"", 'Of the mess you made', 'People like you always want back', 'The love they pushed aside', 'But people like me are gone forever', 'When you say goodbye', '(Stay) hey, all you had to do was stay', 'Had me in the palm of your hand, then', ""Why'd you have to go and lock me out when I let you in?"", '(Stay) hey, now you say you want it back', ""Now that it's just too late, well, could've been easy"", 'All you had to do was (stay)', 'All you had to do was (stay)', 'All you had to do was (stay)', 'All you had to do was (stay, stay, stay, stay)', 'Let me remind you', 'This was what you wanted (oh, oh, oh-oh-oh)', 'You ended it', 'You were all I wanted (oh, oh, oh-oh-oh)', 'But not like this', 'Not like this, not like this', 'Oh, all you had to do was', '(Stay) hey, all you had to do was stay', 'Had me in the palm of your hand, then', ""Why'd you have to go and lock me out when I let you in?"", '(Stay) hey, now you say you want it back', ""Now that it's just too late, well, could've been easy"", 'All you had to do was (stay)', 'Hey, all you had to do was stay', 'Had me in the palm of your hand, then', ""Why'd you have to go and lock me out when I let you in?"", '(Stay) hey, now you say you want it back', ""Now that it's just too late, well, it could've been easy (all you had to do was stay)"", 'All you had to do was (stay)', 'All you had to do was (stay, oh)', 'All you had to do was (stay)', 'All you had to do was (stay, ooh)', 'All you had to do was (stay)', '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],Shake It Off (Taylor's Version),"['I stay out too late', 'Got nothing in my brain', ""That's what people say, mm-mm"", ""That's what people say, mm-mm"", 'I go on too many dates', ""But I can't make 'em stay"", ""At least that's what people say, mm-mm"", ""That's what people say, mm-mm"", ""But I keep cruisin'"", ""Can't stop, won't stop movin'"", ""It's like I got this music in my mind"", 'Sayin\', ""It\'s gonna be alright""', ""'Cause the players gonna play, play, play, play, play"", 'And the haters gonna hate, hate, hate, hate, hate', ""Baby, I'm just gonna shake, shake, shake, shake, shake"", 'Shake it off, I shake it off', 'Heartbreakers gonna break, break, break, break, break', 'And the fakers gonna fake, fake, fake, fake, fake', ""Baby, I'm just gonna shake, shake, shake, shake, shake"", 'I shake it off, I shake it off', 'I never miss a beat', ""I'm lightnin' on my feet"", ""And that's what they don't see, mm-mm"", ""That's what they don't see, mm-mm"", ""I'm dancin' on my own (dancin' on my own)"", 'I make the moves up as I go (moves up as I go)', ""And that's what they don't know, mm-mm"", ""That's what they don't know, mm-mm"", ""But I keep cruisin'"", ""Can't stop, won't stop groovin'"", ""It's like I got this music in my mind"", 'Sayin\', ""It\'s gonna be alright""', ""'Cause the players gonna play, play, play, play, play"", 'And the haters gonna hate, hate, hate, hate, hate it', ""Baby, I'm just gonna shake, shake, shake, shake, shake"", 'Shake it off, I shake it off', 'Heartbreakers gonna break, break, break, break, break', 'And the fakers gonna fake, fake, fake, fake, fake', ""Baby, I'm just gonna shake, shake, shake, shake, shake"", 'I shake it off, I shake it off', 'Shake it off, I shake it off', 'I, I, I shake it off, I shake it off', 'I, I, I shake it off, I shake it off', 'I, I, I shake it off, I shake it off', 'Hey, hey, hey', ""Just think, while you've been gettin' down and out about the liars"", 'And the dirty, dirty cheats of the world', ""You could've been gettin' down to this sick beat"", 'My ex-man brought his new girlfriend', 'She\'s like, ""Oh my God!"" but I\'m just gonna shake', 'And to the fella over there with the hella good hair', ""Won't you come on over, baby?"", 'We can shake, shake, shake', 'Yeah, oh', ""'Cause the players gonna play, play, play, play, play"", 'And the haters gonna hate, hate, hate, hate, hate it (haters gonna hate)', ""Baby, I'm just gonna shake, shake, shake, shake, shake"", 'I shake it off, I shake it off', 'Heartbreakers gonna break, break, break, break, break', 'And the fakers gonna fake, fake, fake, fake, fake (and fake and fake and fake)', ""Baby, I'm just gonna shake, shake, shake, shake, shake"", 'I shake it off, I shake it off', 'Shake it off, I shake it off', 'I, I, I shake it off, I shake it off', 'I, I, I shake it off, I shake it off', 'I, I, I shake it off, I shake it off (yeah)', 'Shake it off, I shake it off', 'I, I, I shake it off, I shake it off (you got to)', 'I, I, I shake it off, I shake it off', 'I, I, I shake it off, I shake it off', '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],I Wish You Would (Taylor's Version),"[""It's 2 a.m. in your car"", 'Windows down, you pass my street, the memories start', 'You say, ""It\'s in the past"", you drive straight ahead', ""You're thinkin' that I hate you now"", ""'Cause you still don't know what I never said"", 'I wish you would come back', 'Wish I never hung up the phone like I did, I', ""Wish you knew that I'd never forget you as long as I live and I"", ""Wish you were right here, right now, it's all good"", 'I wish you would', '♪', ""It's 2 a.m. in my room"", 'Headlights pass the window pane, I think of you', ""We're a crooked love in a straight line down"", 'Makes you wanna run and hide', 'Then it makes you turn right back around', 'I wish you would come back', 'Wish I never hung up the phone like I did, I', ""Wish you knew that I'd never forget you as long as I live and I"", ""Wish you were right here, right now, it's all good"", 'I wish you would', 'I wish we could go back', ""And remember what we were fightin' for and I"", 'Wish you knew that I miss you too much to be mad anymore and I', ""Wish you were right here, right now, it's all good"", 'I wish you would', 'I, I-I-I, I, I, I wish, I wish, I', 'I, I-I-I, I, I, I wish, I wish, I', 'I, I-I-I, I, I, I wish, I wish, I', 'You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I)', ""You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I)"", ""This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I)"", 'To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I)', 'I wish you would, I wish you would (I wish you would, I wish you would)', 'I wish you would, I wish you would (I wish you would, I wish you would)', '(I, I-I-I, I, I, I wish, I wish, I)', '2 a.m., here we are', 'See your face, hear my voice in the dark', ""We're a crooked love in a straight line down"", 'Makes you wanna run and hide', 'But it made us turn right back around', 'I wish you would come back', 'Wish I never hung up the phone like I did, I', ""Wish you knew that I'd never forget you as long as I live and I"", ""Wish you were right here, right now, it's all good"", 'I wish you would', 'I wish you would come back', 'Wish I never hung up the phone like I did, I', ""Wish you knew that I'd never forget you as long as I live and I"", ""Wish you were right here, right now, it's all good"", 'I wish you would', 'I wish we could go back', ""And remember what we were fightin' for and I"", 'Wish you knew that I miss you too much to be mad anymore and I', ""Wish you were right here, right now, it's all good"", 'I wish you would', 'You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I)', ""You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I)"", ""This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I)"", 'To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I)', 'I wish you would, I wish you would (I wish you would, I wish you would)', 'I wish you would, I wish you would (I wish you would, I wish you would)', '(I wish you would, I wish you would)', 'I, I-I-I, I, I, I wish, I wish, I', 'I, I-I-I, I, I, I wish, I wish, I', 'I wish you would', '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],Bad Blood (Taylor's Version),"['Cause baby, now we got bad blood', 'You know it used to be mad love', ""So, take a look what you've done"", 'Cause baby, now we got bad blood', 'Now we got problems', ""And I don't think we can solve them"", 'You made a really deep cut', 'And baby, now we got bad blood', 'Did you have to do this?', 'I was thinking that you could be trusted', 'Did you have to ruin what was shiny?', ""Now it's all rusted"", 'Did you have to hit me', ""Where I'm weak?"", ""Baby, I couldn't breathe and"", 'Rub it in so deep', 'Salt in the wound', ""Like you're laughing right at me"", ""Oh, it's so sad to"", 'Think about the good times', 'You and I ...', 'Cause baby, now we got bad blood', 'You know it used to be mad love', ""So, take a look what you've done"", 'Cause baby, now we got bad blood', 'Now we got problems', ""And I don't think we can solve them"", 'You made a really deep cut', 'And baby, now we got bad blood', ""Did you think we'd be fine?"", 'Still got scars on my back from your knife', ""So, don't think it's in the past"", 'These kind of wounds', 'They last, and they last', 'Now, did you think it all through?', 'All these things will catch up to you', ""And time can heal but this won't"", ""So, if you're coming my way"", ""Just don't"", ""Oh, it's so sad to"", 'Think about the good times', 'You and I ...', 'Cause baby, now we got bad blood', 'You know it used to be mad love', ""So, take a look what you've done"", 'Cause baby, now we got bad blood', 'Now we got problems', ""And I don't think we can solve them"", 'You made a really deep cut', 'And baby, now we got bad blood', ""Band-Aids don't fix bullet holes"", 'You say sorry just for show', 'If you live like that', 'You live with ghosts', ""Band-Aids don't fix bullet holes"", 'You say sorry just for show', 'If you live like that', 'You live with ghosts', 'If you love like that, blood', 'Runs cold ...', 'Cause baby, now we got bad blood', 'You know it used to be mad love', ""So, take a look what you've done"", 'Cause baby, now we got bad blood', 'Now we got problems', ""And I don't think we can solve them"", 'You made a really deep cut', 'And baby, now we got bad blood', 'Cause baby, now we got bad blood', 'You know it used to be mad love', ""So, take a look what you've done"", 'Cause baby, now we got bad blood', 'Now we got problems', ""And I don't think we can solve them"", 'You made a really deep cut', 'And baby, now we got bad blood', '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],Wildest Dreams (Taylor's Version),"['He said, ""Let\'s get out of this town', 'Drive out of the city, away from the crowds""', 'I thought, ""Heaven can\'t help me now""', 'Nothing lasts forever', 'But this is gonna take me down', ""He's so tall, and handsome as hell"", ""He's so bad, but he does it so well"", 'I can see the end as it begins', 'My one condition is', ""Say you'll remember me standing in a nice dress"", 'Staring at the sunset, babe', 'Red lips and rosy cheeks', ""Say you'll see me again"", ""Even if it's just in your wildest dreams, ah-ah, ha"", 'Wildest dreams, ah-ah, ha', '♪', 'I said, ""No one has to know what we do""', 'His hands are in my hair, his clothes are in my room', 'And his voice is a familiar sound', 'Nothing lasts forever', 'But this is getting good now', ""He's so tall, and handsome as hell"", ""He's so bad, but he does it so well"", ""And when we've had our very last kiss"", 'My last request, it is', ""Say you'll remember me standing in a nice dress"", 'Staring at the sunset, babe', 'Red lips and rosy cheeks', ""Say you'll see me again"", ""Even if it's just in your wildest dreams, ah-ah, ha (ah-ah, ha)"", 'Wildest dreams, ah-ah, ha', ""You'll see me in hindsight, tangled up with you all night"", 'Burning it down', 'Someday when you leave me, I bet these memories', 'Follow you around', ""You'll see me in hindsight, tangled up with you all night"", 'Burning (burning) it (it) down (down)', 'Someday when you leave me, I bet these memories', 'Follow (follow) you (you) around (around)', '(Follow you around)', ""Say you'll remember me standing in a nice dress"", 'Staring at the sunset, babe', 'Red lips and rosy cheeks', ""Say you'll see me again, even if it's just pretend"", ""Say you'll remember me standing in a nice dress"", 'Staring at the sunset, babe', 'Red lips and rosy cheeks', ""Say you'll see me again"", ""Even if it's just in your (just pretend, just pretend)"", 'Wildest dreams, ah-ah, ha (ah-ah-ah-ah)', 'Wildest dreams, ah-ah, ha', ""(Even if it's just in your) wildest dreams, ah-ah, ha"", 'In your wildest dreams, ah-ah, ha', '']"
Taylor Swift,1989 (Taylor's Version) [Deluxe],How You Get The Girl (Taylor's Version),"['Oh-oh-oh, oh-oh-oh', 'Oh-oh, oh-oh', 'Stand there like a ghost, shaking from the rain, rain', '♪', 'She\'ll open up the door and say, ""Are you insane-ane?""', '♪', 'Say, ""It\'s been a long six months""', '♪', 'And you were too afraid to tell her what you want, want', ""And that's how it works"", ""That's how you get the girl"", 'And then, you say', 'I want you for worse or for better', 'I would wait forever and ever', ""Broke your heart, I'll put it back together"", 'I would wait forever and ever', ""And that's how it works"", ""That's how you get the girl, girl"", 'Oh-oh', ""And that's how it works"", ""That's how you get the girl, girl"", '', 'Remind her how it used to be, be, yeah, yeah', 'Of pictures in frames, of kisses on cheeks, cheeks', 'Tell her how you must have lost your mind, ooh', 'When you left her all alone and never told her why, why', ""And that's how it works"", ""That's how you lost the girl"", 'And now, you say', 'I want you for worse or for better', 'I would wait forever and ever (ever and ever)', ""Broke your heart, I'll put it back together"", 'I would wait forever and ever (ever and ever)', ""And that's how it works"", ""That's how you get the girl, girl"", 'Oh-oh', ""And that's how it works"", ""That's how you get the girl, girl"", 'Yeah, yeah', 'And you know', 'Oh, oh-oh, oh, oh, oh-oh-oh, oh', ""That I don't want you"", 'To go, oh, oh', 'Remind me how it used to be', '♪', 'Pictures in frames of kisses on cheeks', 'And say you want me, yeah, yeah', ""And then, you say ('cause)"", 'I want you for worse or for better (worse or for better)', 'I would wait forever and ever (ever and ever)', ""Broke your heart, I'll put it back together"", 'I want you forever and ever', ""And that's how it works"", ""That's how you get the girl, girl"", ""'Cause that's how it works"", ""And that's how it works"", ""That's how you get the girl, girl (get the girl)"", ""That's how it works"", ""And that's how it works (oh-oh)"", ""That's how you get the girl, girl (oh-oh)"", ""And that's how it works"", ""That's how you get the girl, girl"", ""And that's how it works"", ""That's how you got the girl"", '']"
