2024-04-10 07:40:40.622 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 17.0.1+12-LTS-39
2024-04-10 07:40:41.195 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-04-10 07:40:41.245 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-04-10 07:40:41.259 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.5.0
2024-04-10 07:40:41.259 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-04-10 07:40:41.260 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /Users/copseatingdonuts/solr-9.5.0
2024-04-10 07:40:41.260 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-04-10T07:40:41.260296Z
2024-04-10 07:40:41.266 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/../logs/jvm_crash_36930.log
2024-04-10 07:40:41.328 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr (source: system property: solr.solr.home)
2024-04-10 07:40:41.367 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/solr.xml
2024-04-10 07:40:41.444 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/Users/copseatingdonuts/solr-9.5.0/lib]
2024-04-10 07:40:43.407 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-04-10 07:40:44.026 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-04-10 07:40:44.030 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-04-10 07:40:44.587 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 0 core definitions underneath /Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr
2024-04-10 07:40:45.271 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-04-10 07:40:45.871 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-04-10 07:40:46.212 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@4263b080{solr-jetty-context.xml,/solr,file:///Users/copseatingdonuts/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{/Users/copseatingdonuts/solr-9.5.0/server/solr-webapp/webapp}
2024-04-10 07:40:46.228 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /Users/copseatingdonuts/solr-9.5.0/example/techproducts/logs/2024_04_10.request.log
2024-04-10 07:40:46.233 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@435871cb{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2024-04-10 07:40:46.237 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@165b2f7f{STARTING}[10.0.19,sto=0] @7995ms
2024-04-10 07:40:46.627 INFO  (qtp1677458155-20-localhost-1) [c: s: r: x: t:localhost-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=82
2024-04-10 07:40:46.767 INFO  (qtp1677458155-21-localhost-2) [c: s: r: x:techproducts t:localhost-2] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={core=techproducts&action=STATUS&indexInfo=true&wt=javabin&version=2} status=0 QTime=1
2024-04-10 07:40:46.801 INFO  (qtp1677458155-24-localhost-3) [c: s: r: x: t:localhost-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=4
2024-04-10 07:40:46.825 INFO  (qtp1677458155-24-localhost-4) [c: s: r: x: t:localhost-4] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=5
2024-04-10 07:40:46.846 INFO  (qtp1677458155-21-localhost-5) [c: s: r: x:techproducts t:localhost-5] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={core=techproducts&action=STATUS&indexInfo=true&wt=javabin&version=2} status=0 QTime=0
2024-04-10 07:40:47.070 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.h.a.CoreAdminOperation core create command name=techproducts&action=CREATE&instanceDir=techproducts&wt=javabin&version=2
2024-04-10 07:40:47.128 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.c.SolrResourceLoader Added 91 libs to classloader, from paths: [/Users/copseatingdonuts/solr-9.5.0/modules/clustering/lib, /Users/copseatingdonuts/solr-9.5.0/modules/extraction/lib, /Users/copseatingdonuts/solr-9.5.0/modules/langid/lib, /Users/copseatingdonuts/solr-9.5.0/modules/ltr/lib, /Users/copseatingdonuts/solr-9.5.0/modules/scripting/lib]
2024-04-10 07:40:47.438 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-04-10 07:40:47.448 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.u.SolrIndexConfig IndexWriter infoStream solr logging is enabled
2024-04-10 07:40:47.554 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.s.IndexSchema Schema name=example
2024-04-10 07:40:48.100 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
2024-04-10 07:40:48.108 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
2024-04-10 07:40:48.108 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/english
2024-04-10 07:40:48.108 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/english
2024-04-10 07:40:48.129 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.s.IndexSchema Loaded schema example/1.6 with uniqueid field id
2024-04-10 07:40:48.203 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.c.CoreContainer Creating SolrCore 'techproducts' using configuration from instancedir /Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/techproducts, trusted=true
2024-04-10 07:40:48.257 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.c.SolrCore Opening new SolrCore at [/Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/techproducts], dataDir=[/Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/techproducts/data/]
2024-04-10 07:40:49.365 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-04-10 07:40:49.397 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-04-10 07:40:49.397 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-04-10 07:40:49.408 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-04-10 07:40:49.408 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-04-10 07:40:49.468 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/techproducts/conf
2024-04-10 07:40:49.470 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResourceStorage Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/techproducts/conf
2024-04-10 07:40:49.471 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResource Loaded initArgs {} for /rest/managed
2024-04-10 07:40:49.472 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResourceStorage Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/techproducts/conf
2024-04-10 07:40:49.472 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResource Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
2024-04-10 07:40:49.472 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.s.a.ManagedWordSetResource Loaded 35 words for /schema/analysis/stopwords/english
2024-04-10 07:40:49.472 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResource Notified 2 observers of /schema/analysis/stopwords/english
2024-04-10 07:40:49.473 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResourceStorage Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/copseatingdonuts/solr-9.5.0/example/techproducts/solr/techproducts/conf
2024-04-10 07:40:49.473 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResource Loaded initArgs {ignoreCase=true, format=solr} for /schema/analysis/synonyms/english
2024-04-10 07:40:49.474 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.s.a.ManagedSynonymGraphFilterFactory Loaded 3 synonym mappings for /schema/analysis/synonyms/english
2024-04-10 07:40:49.476 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.r.ManagedResource Notified 2 observers of /schema/analysis/synonyms/english
2024-04-10 07:40:49.500 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=text, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4}
2024-04-10 07:40:49.510 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.h.c.SuggestComponent Initializing SuggestComponent
2024-04-10 07:40:49.515 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.s.s.SolrSuggester init: {name=mySuggester, lookupImpl=FuzzyLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=cat, weightField=price, suggestAnalyzerFieldType=string, buildOnStartup=false}
2024-04-10 07:40:49.532 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.s.s.SolrSuggester Dictionary loaded with params: {name=mySuggester, lookupImpl=FuzzyLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=cat, weightField=price, suggestAnalyzerFieldType=string, buildOnStartup=false}
2024-04-10 07:40:49.547 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-04-10 07:40:49.551 INFO  (qtp1677458155-23-localhost-6) [c: s: r: x: t:localhost-6] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={name=techproducts&action=CREATE&instanceDir=techproducts&wt=javabin&version=2} status=0 QTime=2480
2024-04-10 07:40:49.657 INFO  (searcherExecutor-13-thread-1-processing-techproducts localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.c.S.Request webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=103
2024-04-10 07:40:49.658 INFO  (searcherExecutor-13-thread-1-processing-techproducts localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-04-10 07:40:49.658 INFO  (searcherExecutor-13-thread-1-processing-techproducts localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-04-10 07:40:49.658 INFO  (searcherExecutor-13-thread-1-processing-techproducts localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: wordbreak
2024-04-10 07:40:49.671 INFO  (searcherExecutor-13-thread-1-processing-techproducts localhost-6) [c: s: r: x:techproducts t:localhost-6] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-04-10 07:40:49.823 INFO  (qtp1677458155-24-localhost-7) [c: s: r: x:techproducts t:localhost-7] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[TWINX2048-3200PRO (1795932657735958528), VS1GB400C3 (1795932657880662016), VDBDB1A16 (1795932657884856320)]} 0 221
