2024-04-13 07:33:25.619 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 17.0.1+12-LTS-39
2024-04-13 07:33:26.291 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-04-13 07:33:26.342 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-04-13 07:33:26.357 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.5.0
2024-04-13 07:33:26.357 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-04-13 07:33:26.357 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0
2024-04-13 07:33:26.358 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-04-13T07:33:26.358112Z
2024-04-13 07:33:26.362 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/logs/jvm_crash_58023.log
2024-04-13 07:33:26.416 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr (source: system property: solr.solr.home)
2024-04-13 07:33:26.452 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/solr.xml
2024-04-13 07:33:26.520 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/lib]
2024-04-13 07:33:28.395 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-04-13 07:33:28.861 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-04-13 07:33:28.864 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-04-13 07:33:29.178 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 2 core definitions underneath /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr
2024-04-13 07:33:29.179 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [lyrics-dev, lyrics-prod]
2024-04-13 07:33:29.226 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-04-13 07:33:29.226 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-04-13 07:33:29.393 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.s.IndexSchema Schema name=default-config
2024-04-13 07:33:29.394 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.s.IndexSchema Schema name=default-config
2024-04-13 07:33:29.675 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-04-13 07:33:29.883 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-04-13 07:33:29.883 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.c.CoreContainer Creating SolrCore 'lyrics-prod' using configuration from instancedir /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod, trusted=true
2024-04-13 07:33:29.884 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-04-13 07:33:29.884 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.c.CoreContainer Creating SolrCore 'lyrics-dev' using configuration from instancedir /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-dev, trusted=true
2024-04-13 07:33:29.957 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.c.SolrCore Opening new SolrCore at [/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-dev], dataDir=[/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-dev/data/]
2024-04-13 07:33:29.957 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.c.SolrCore Opening new SolrCore at [/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod], dataDir=[/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod/data/]
2024-04-13 07:33:30.285 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-04-13 07:33:30.544 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@655a5d9c{solr-jetty-context.xml,/solr,file:///Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr-webapp/webapp}
2024-04-13 07:33:30.560 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/logs/2024_04_13.request.log
2024-04-13 07:33:30.567 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@3dddefd8{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2024-04-13 07:33:30.570 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@6ca0256d{STARTING}[10.0.19,sto=0] @7209ms
2024-04-13 07:33:31.014 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-04-13 07:33:31.022 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-04-13 07:33:31.048 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-04-13 07:33:31.049 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-04-13 07:33:31.050 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-04-13 07:33:31.050 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-04-13 07:33:31.084 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-04-13 07:33:31.084 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-04-13 07:33:31.085 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-04-13 07:33:31.085 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-04-13 07:33:31.232 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-dev/conf
2024-04-13 07:33:31.263 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.s.DirectSolrSpellChecker init: {maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-04-13 07:33:31.277 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod/conf
2024-04-13 07:33:31.279 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.s.DirectSolrSpellChecker init: {maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-04-13 07:33:31.282 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:lyrics-dev t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-04-13 07:33:31.282 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:lyrics-prod t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-04-13 07:33:31.285 INFO  (searcherExecutor-15-thread-1-processing-lyrics-dev) [c: s: r: x:lyrics-dev t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-04-13 07:33:31.285 INFO  (searcherExecutor-13-thread-1-processing-lyrics-prod) [c: s: r: x:lyrics-prod t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-04-13 07:33:31.285 INFO  (searcherExecutor-13-thread-1-processing-lyrics-prod) [c: s: r: x:lyrics-prod t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-04-13 07:33:31.286 INFO  (searcherExecutor-15-thread-1-processing-lyrics-dev) [c: s: r: x:lyrics-dev t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-04-13 07:33:31.298 INFO  (searcherExecutor-15-thread-1-processing-lyrics-dev) [c: s: r: x:lyrics-dev t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-04-13 07:33:31.299 INFO  (searcherExecutor-13-thread-1-processing-lyrics-prod) [c: s: r: x:lyrics-prod t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-04-13 07:33:38.635 INFO  (qtp1997548433-48-localhost-4) [c: s: r: x: t:localhost-4] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=19
2024-04-13 07:33:38.636 INFO  (qtp1997548433-20-localhost-3) [c: s: r: x:lyrics-dev t:localhost-3] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1712937791291&ts=1712937791291} status=503 QTime=23
2024-04-13 07:33:38.638 INFO  (qtp1997548433-18-localhost-2) [c: s: r: x:lyrics-dev t:localhost-2] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1712937791342} status=0 QTime=27
2024-04-13 07:33:38.641 INFO  (qtp1997548433-21-localhost-6) [c: s: r: x:lyrics-dev t:localhost-6] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1712937791342} status=0 QTime=30
2024-04-13 07:33:38.645 INFO  (qtp1997548433-17-localhost-1) [c: s: r: x: t:localhost-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=34
2024-04-13 07:33:38.645 INFO  (qtp1997548433-23-localhost-5) [c: s: r: x:lyrics-dev t:localhost-5] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1712937791342} status=0 QTime=34
2024-04-13 07:33:41.890 INFO  (qtp1997548433-22-localhost-7) [c: s: r: x: t:localhost-7] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=0
2024-04-13 07:33:41.927 INFO  (qtp1997548433-26-localhost-9) [c: s: r: x:lyrics-prod t:localhost-9] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1712937791342} status=0 QTime=2
2024-04-13 07:33:41.954 INFO  (qtp1997548433-22-localhost-8) [c: s: r: x:lyrics-prod t:localhost-8] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1712937791342} status=0 QTime=43
2024-04-13 07:33:41.956 INFO  (qtp1997548433-20-localhost-11) [c: s: r: x:lyrics-prod t:localhost-11] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1712937791342} status=0 QTime=3
2024-04-13 07:33:41.959 INFO  (qtp1997548433-47-localhost-10) [c: s: r: x: t:localhost-10] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=31
2024-04-13 07:33:41.973 INFO  (qtp1997548433-20-localhost-12) [c: s: r: x:lyrics-prod t:localhost-12] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1712937791291&ts=1712937791291} status=503 QTime=0
2024-04-13 07:33:44.026 INFO  (qtp1997548433-25-localhost-13) [c: s: r: x: t:localhost-13] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=0
2024-04-13 07:33:44.047 INFO  (qtp1997548433-24-localhost-14) [c: s: r: x: t:localhost-14] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=5
2024-04-13 07:33:44.058 INFO  (qtp1997548433-21-localhost-17) [c: s: r: x:lyrics-dev t:localhost-17] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1712937791291&ts=1712937791291} status=503 QTime=0
2024-04-13 07:33:44.074 INFO  (qtp1997548433-18-localhost-15) [c: s: r: x:lyrics-dev t:localhost-15] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1712937791342} status=0 QTime=30
2024-04-13 07:33:44.075 INFO  (qtp1997548433-25-localhost-16) [c: s: r: x:lyrics-dev t:localhost-16] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1712937791342} status=0 QTime=29
2024-04-13 07:33:44.092 INFO  (qtp1997548433-25-localhost-18) [c: s: r: x:lyrics-dev t:localhost-18] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1712937791342} status=0 QTime=2
2024-04-13 07:33:45.303 INFO  (qtp1997548433-22-localhost-20) [c: s: r: x: t:localhost-20] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=6
2024-04-13 07:33:45.338 INFO  (qtp1997548433-21-localhost-21) [c: s: r: x: t:localhost-21] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=32
